,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,logNumVotes,FilmRating
217009,tt2267968,movie,Kung Fu Panda 3,Kung Fu Panda 3,0,2016,\N,95,"Action,Adventure,Animation",0.71,172156,0.8128069788638174,5.770929549933102
132058,tt0438097,movie,Ice Age: The Meltdown,Ice Age: The Meltdown,0,2006,\N,91,"Adventure,Animation,Comedy",0.6799999999999999,287687,0.8474244512413492,5.762486268441175
179824,tt1436562,movie,Rio,Rio,0,2011,\N,96,"Adventure,Animation,Comedy",0.6900000000000001,238507,0.8347852223048531,5.760018033903487
97276,tt0243017,movie,Waking Life,Waking Life,0,2001,\N,99,"Animation,Drama,Fantasy",0.77,65731,0.7478944779958855,5.758787480568318
65906,tt0120794,movie,The Prince of Egypt,The Prince of Egypt,0,1998,\N,99,"Adventure,Animation,Drama",0.72,139405,0.7985805010541143,5.749779607589622
197885,tt1754656,movie,The Little Prince,Le Petit Prince,0,2015,\N,108,"Adventure,Animation,Drama",0.77,64542,0.7466637897609494,5.74931118115931
12000,tt0033563,movie,Dumbo,Dumbo,0,1941,\N,64,"Adventure,Animation,Drama",0.72,137269,0.7975395026179345,5.742284418849128
273063,tt6718170,movie,The Super Mario Bros. Movie,The Super Mario Bros. Movie,0,2023,\N,92,"Adventure,Animation,Comedy",0.71,160332,0.808009863369634,5.736870029924401
58651,tt0106364,movie,Batman: Mask of the Phantasm,Batman: Mask of the Phantasm,0,1993,\N,76,"Action,Adventure,Animation",0.78,53948,0.7345759671982556,5.729692544146394
140020,tt0780521,movie,The Princess and the Frog,The Princess and the Frog,0,2009,\N,97,"Adventure,Animation,Comedy",0.71,156164,0.8062340670895167,5.724261876335568
52717,tt0095489,movie,The Land Before Time,The Land Before Time,0,1988,\N,69,"Adventure,Animation,Drama",0.74,94408,0.7723036638471044,5.7150471124685716
267302,tt6105098,movie,The Lion King,The Lion King,0,2019,\N,118,"Adventure,Animation,Drama",0.6799999999999999,256359,0.839651493504984,5.709630155833891
69903,tt0133240,movie,Treasure Planet,Treasure Planet,0,2002,\N,95,"Adventure,Animation,Family",0.72,126142,0.7918403374159199,5.701250429394623
105156,tt0275277,movie,Cowboy Bebop: The Movie,Cowboy Bebop: Tengoku no tobira,0,2001,\N,115,"Action,Animation,Crime",0.78,50918,0.7306789046378918,5.699295456175556
264602,tt5848272,movie,Ralph Breaks the Internet,Ralph Breaks the Internet,0,2018,\N,112,"Adventure,Animation,Comedy",0.7,171974,0.8127356677133398,5.689149673993379
107846,tt0286244,movie,The Triplets of Belleville,Les triplettes de Belleville,0,2003,\N,80,"Adventure,Animation,Comedy",0.77,55919,0.7369951824114273,5.6748629045679895
63626,tt0116583,movie,The Hunchback of Notre Dame,The Hunchback of Notre Dame,0,1996,\N,91,"Animation,Drama,Family",0.7,165093,0.8099826803864425,5.669878762705097
183492,tt14888874,movie,Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,Kimetsu no Yaiba: Natagumo Yama Hen,0,2020,\N,138,"Action,Animation,Fantasy",0.8800000000000001,13972,0.6434960252302947,5.662765022026594
