,primaryTitle,isAdult,startYear,runtimeMinutes,genres,FilmRating
259415,The Mole Song: Hong Kong Capriccio,0,2016,128,"Action,Comedy,Crime",2.4929018667549885
107540,Aarzoo,0,1999,175,"Action,Drama,Romance",2.492625113029295
237576,Most Welcome 2,0,2014,\N,Action,2.4925341629472553
34827,Prem Pujari,0,1970,192,"Action,Drama,Musical",2.4922522130131006
115742,Blazing Battle,0,1983,90,"Action,War",2.4918147274141185
226459,"The Chef, The Actor, The Scoundrel",0,2013,108,"Action,Comedy,Drama",2.49173581418051
255478,Hotel Inferno 2: The Cathedral of Pain,0,2017,70,"Action,Horror",2.49173581418051
85662,The Most Dangerous Man in the World,0,1967,100,"Action,Comedy,Crime",2.491591208140142
14851,Docks of New York,0,1945,62,"Action,Adventure,Comedy",2.491591208140142
259954,The Job,0,2017,90,"Action,Thriller",2.4914711239693625
204470,Sector 7,0,2011,101,"Action,Sci-Fi",2.4912404640482806
87845,7 Lucky Ninja Kids,0,1989,90,"Action,Comedy",2.4910639780942607
39204,The Farmer,0,1977,97,"Action,Crime,Drama",2.490586889817483
134413,Um Tiro no Escuro,0,2005,105,"Action,Crime,Drama",2.490586889817483
41451,Foul Play,0,1976,90,"Action,Comedy,Crime",2.490434490654943
155880,Avarice,0,2022,88,"Action,Thriller",2.4903383247614497
33661,Eagles Over London,0,1969,110,"Action,Drama,War",2.4901916683170553
164194,Return of the Ghostbusters,0,2007,85,"Action,Comedy,Fantasy",2.4899641831949597
180351,Saat Pake Bandha,0,2009,160,"Action,Drama,Romance",2.489902384926185
173058,Tactical Unit - Comrades in Arms,0,2009,91,"Action,Crime,Drama",2.489902384926185
169442,Eye for an Eye,0,2008,101,"Action,Crime",2.489704751331644
272009,Night Bus,0,2017,139,"Action,Crime,Thriller",2.4896152572177623
160205,Diamond 13,0,2009,98,"Action,Crime,Thriller",2.4895810302166166
259530,Short Fuse,0,2016,86,"Action,Mystery,Thriller",2.4894606988682715
31164,One Spy Too Many,0,1966,102,"Action,Adventure,Comedy",2.4894606988682715
167134,A Love,0,2007,104,"Action,Drama",2.489431473559403
258471,Bounty Hunters,0,2016,105,"Action,Comedy,Romance",2.489420061595485
31788,Hot Rods to Hell,0,1966,92,"Action,Drama,Thriller",2.489083128414361
186410,Bairagee,0,2022,135,Action,2.489057649998515
221429,Scorched Earth,0,2018,96,"Action,Drama,Thriller",2.4889652929650903
156670,Annaatthe,0,2021,163,"Action,Comedy,Drama",2.488862017121123
285655,Killers Anonymous,0,2019,95,"Action,Crime,Mystery",2.4885442554941983
14177,Captain America,0,1944,244,"Action,Adventure,Sci-Fi",2.4884083074166066
146503,Nailed,0,2007,85,"Action,Comedy,Horror",2.4883685424275006
